"","B4","B3","B2","B1","B1_1","B2_1","B3_1","B4_1"
"ctrl",4.48907183811525,3.59299456020769,1.79762627329867,0.901144478868953,0.894907037444141,1.79650545896412,3.58948063533993,4.4883222296405
"protease",3.91419400560339,3.03030291921967,1.27272041439218,0.390168303550117,0.863319369007591,1.73527726181891,3.50440730918522,4.38915317362642
"DELTA",-0.574877832511855,-0.56269164098802,-0.524905858906496,-0.510976175318836,-0.0315876684365508,-0.061228197145208,-0.0850733261547107,-0.0991690560140785
